Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000644,11.644019,[ 5 45] ; [10 12],[10.41666667 39.58333333] ; [ 4.58333333 17.41666667],1
r1,1,0.009051,6.812765,[22 28] ; [17  5],[27.08333333 22.91666667] ; [11.91666667 10.08333333],0
r4,1,0.012672,6.214338,[28 22] ; [19  3],[32.63888889 17.36111111] ; [14.36111111  7.63888889],0
n6,1,0.024706,5.044364,[27 23] ; [18  4],[31.25 18.75] ; [13.75  8.25],0
r2,1,0.038646,4.276364,[34 16] ; [20  2],[37.5 12.5] ; [16.5  5.5],0
r3,1,0.048052,3.908157,[38 12] ; [21  1],[40.97222222  9.02777778] ; [18.02777778  3.97222222],0
v4,1,0.048052,3.908157,[38 12] ; [21  1],[40.97222222  9.02777778] ; [18.02777778  3.97222222],0
a7,1,0.051767,3.783273,[24 26] ; [16  6],[27.77777778 22.22222222] ; [12.22222222  9.77777778],0
p11,1,0.096641,2.760126,[31 19] ; [18  4],[34.02777778 15.97222222] ; [14.97222222  7.02777778],0
a3,1,0.105338,2.622799,[21 28] ; [14  8],[24.15492958 24.84507042] ; [10.84507042 11.15492958],0
s6,1,0.134234,2.242848,[20 30] ; [13  9],[22.91666667 27.08333333] ; [10.08333333 11.91666667],0
p12,1,0.165439,1.923794,[ 1 49] ; [ 2 20],[ 2.08333333 47.91666667] ; [ 0.91666667 21.08333333],0
b5,1,0.191527,1.705835,[31 19] ; [10 12],[28.47222222 21.52777778] ; [12.52777778  9.47222222],0
a4,1,0.252559,1.309091,[10 40] ; [ 2 20],[ 8.33333333 41.66666667] ; [ 3.66666667 18.33333333],0
b1,1,0.260856,1.264208,[23 27] ; [ 7 15],[20.83333333 29.16666667] ; [ 9.16666667 12.83333333],0
s4,1,0.265578,1.239445,[ 8 42] ; [ 6 16],[ 9.72222222 40.27777778] ; [ 4.27777778 17.72222222],0
u3,1,0.278272,1.17551,[13 15] ; [2 6],[11.66666667 16.33333333] ; [3.33333333 4.66666667],0
n5,1,0.293004,1.105769,[18 31] ; [11 11],[20.01408451 28.98591549] ; [ 8.98591549 13.01408451],0
v1,1,0.300485,1.072042,[16 33] ; [10 12],[17.94366197 31.05633803] ; [ 8.05633803 13.94366197],0
s5,1,0.319296,0.991827,[ 9 41] ; [ 6 15],[10.56338028 39.43661972] ; [ 4.43661972 16.56338028],0
s7,1,0.319748,0.989977,[10 38] ; [ 7 15],[11.65714286 36.34285714] ; [ 5.34285714 16.65714286],0
s2,1,0.355065,0.855273,[17 33] ; [10 12],[18.75 31.25] ; [ 8.25 13.75],0
p8,1,0.375927,0.78398,[19 30] ; [11 11],[20.70422535 28.29577465] ; [ 9.29577465 12.70422535],0
p5,1,0.397253,0.716626,[ 2 47] ; [ 2 20],[ 2.76056338 46.23943662] ; [ 1.23943662 20.76056338],0
a6,1,0.409002,0.6817,[22 28] ; [12 10],[23.61111111 26.38888889] ; [10.38888889 11.61111111],0
a5,1,0.448421,0.57464,[18 32] ; [10 12],[19.44444444 30.55555556] ; [ 8.55555556 13.44444444],0
s8,1,0.488089,0.480737,[12 38] ; [ 7 15],[13.19444444 36.80555556] ; [ 5.80555556 16.19444444],0
n2,1,0.518416,0.417043,[14  6] ; [5 1],[14.61538462  5.38461538] ; [4.38461538 1.61538462],0
u2,1,0.532251,0.390093,[14 14] ; [3 5],[13.22222222 14.77777778] ; [3.77777778 4.22222222],0
d3,1,0.552453,0.35294,[19 31] ; [10 12],[20.13888889 29.86111111] ; [ 8.86111111 13.13888889],0
b4,1,0.578035,0.309421,[26 24] ; [13  9],[27.08333333 22.91666667] ; [11.91666667 10.08333333],0
a2,1,0.634605,0.225867,[ 3 47] ; [ 2 20],[ 3.47222222 46.52777778] ; [ 1.52777778 20.47222222],0
p10,1,0.653296,0.20177,[29 21] ; [14  8],[29.86111111 20.13888889] ; [13.13888889  8.86111111],0
d2,1,0.713259,0.135043,[11 39] ; [ 4 18],[10.41666667 39.58333333] ; [ 4.58333333 17.41666667],0
p2,1,0.742654,0.107807,[36 14] ; [15  7],[35.41666667 14.58333333] ; [15.58333333  6.41666667],0
s3,1,0.754145,0.09808,[23 27] ; [11 11],[23.61111111 26.38888889] ; [10.38888889 11.61111111],0
p1,1,0.803978,0.061604,[ 3 47] ; [ 1 21],[ 2.77777778 47.22222222] ; [ 1.22222222 20.77777778],0
p9,1,0.814574,0.055004,[35 15] ; [16  6],[35.41666667 14.58333333] ; [15.58333333  6.41666667],0
n1,1,0.855816,0.033016,[ 4 16] ; [1 5],[ 3.84615385 16.15384615] ; [1.15384615 4.84615385],0
p6,1,0.857722,0.03214,[10 38] ; [ 5 17],[10.28571429 37.71428571] ; [ 4.71428571 17.28571429],0
p4,1,0.864922,0.028938,[19 30] ; [ 9 13],[19.32394366 29.67605634] ; [ 8.67605634 13.32394366],0
n3,1,0.876697,0.024074,[14  6] ; [4 2],[13.84615385  6.15384615] ; [4.15384615 1.84615385],0
p7,1,0.877203,0.023875,[29 18] ; [14  8],[29.28985507 17.71014493] ; [13.71014493  8.28985507],0
d4,1,0.908908,0.013091,[28 22] ; [12 10],[27.77777778 22.22222222] ; [12.22222222  9.77777778],0
a8,1,0.910007,0.012776,[ 5 43] ; [ 2 19],[ 4.86956522 43.13043478] ; [ 2.13043478 18.86956522],0
p3,1,0.910133,0.01274,[13 37] ; [ 6 16],[13.19444444 36.80555556] ; [ 5.80555556 16.19444444],0
b2,1,0.910717,0.012574,[ 6 20] ; [2 6],[ 6.11764706 19.88235294] ; [1.88235294 6.11764706],0
b3,1,0.910717,0.012574,[ 6 20] ; [2 6],[ 6.11764706 19.88235294] ; [1.88235294 6.11764706],0
d1,1,0.915033,0.011383,[ 2 48] ; [ 1 21],[ 2.08333333 47.91666667] ; [ 0.91666667 21.08333333],0
