Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.4e-05,17.153263,[11  3] ; [ 2 19],[5.2 8.8] ; [ 7.8 13.2],1
s3,1,0.006423,7.427625,[9 4] ; [ 4 15],[5.28125 7.71875] ; [ 7.71875 11.28125],0
d3,1,0.03647,4.375,[11  3] ; [ 9 12],[8. 6.] ; [12.  9.],0
a7,1,0.03647,4.375,[11  3] ; [ 9 12],[8. 6.] ; [12.  9.],0
d2,1,0.03647,4.375,[9 5] ; [ 6 15],[6. 8.] ; [ 9. 12.],0
d4,1,0.041819,4.142512,[12  2] ; [11 10],[9.2 4.8] ; [13.8  7.2],0
s2,1,0.045563,3.997669,[8 6] ; [ 5 16],[5.2 8.8] ; [ 7.8 13.2],0
a2,1,0.048607,3.888889,[ 4 10] ; [ 1 20],[ 2. 12.] ; [ 3. 18.],0
p6,1,0.053309,3.734217,[7 7] ; [ 4 17],[4.4 9.6] ; [ 6.6 14.4],0
p5,1,0.068002,3.330612,[5 9] ; [ 2 18],[ 2.88235294 11.11764706] ; [ 4.11764706 15.88235294],0
n2,1,0.079008,3.085185,[8 1] ; [4 4],[6.35294118 2.64705882] ; [5.64705882 2.35294118],0
n3,1,0.085804,2.951389,[3 6] ; [6 2],[4.76470588 4.23529412] ; [4.23529412 3.76470588],0
d1,1,0.090969,2.857143,[8 6] ; [ 6 15],[5.6 8.4] ; [ 8.4 12.6],0
a6,1,0.096458,2.763158,[10  4] ; [ 9 12],[7.6 6.4] ; [11.4  9.6],0
p10,1,0.120507,2.410714,[13  1] ; [15  6],[11.2  2.8] ; [16.8  4.2],0
s4,1,0.14298,2.145594,[ 4 10] ; [ 2 19],[ 2.4 11.6] ; [ 3.6 17.4],0
u2,1,0.164264,1.934524,[3 1] ; [3 6],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
u3,1,0.164264,1.934524,[3 1] ; [3 6],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
d5,1,0.190732,1.711957,[11  3] ; [12  9],[9.2 4.8] ; [13.8  7.2],0
n6,1,0.190732,1.711957,[11  3] ; [12  9],[9.2 4.8] ; [13.8  7.2],0
v4,1,0.199953,1.64272,[13  1] ; [16  5],[11.6  2.4] ; [17.4  3.6],0
p4,1,0.214006,1.544118,[9 5] ; [ 9 12],[7.2 6.8] ; [10.8 10.2],0
b5,1,0.259796,1.269841,[10  4] ; [11 10],[8.4 5.6] ; [12.6  8.4],0
r1,1,0.267783,1.22807,[8 6] ; [ 8 13],[6.4 7.6] ; [ 9.6 11.4],0
v1,1,0.267783,1.22807,[6 8] ; [13  8],[7.6 6.4] ; [11.4  9.6],0
s1,1,0.324127,0.972222,[ 2 12] ; [ 1 20],[ 1.2 12.8] ; [ 1.8 19.2],0
n5,1,0.324127,0.972222,[12  2] ; [15  6],[10.8  3.2] ; [16.2  4.8],0
p12,1,0.324127,0.972222,[ 2 12] ; [ 1 20],[ 1.2 12.8] ; [ 1.8 19.2],0
b4,1,0.383057,0.76087,[8 6] ; [15  6],[9.2 4.8] ; [13.8  7.2],0
a5,1,0.391504,0.734266,[10  4] ; [12  9],[8.8 5.2] ; [13.2  7.8],0
p3,1,0.409,0.681704,[5 9] ; [10 10],[6.17647059 7.82352941] ; [ 8.82352941 11.17647059],0
a4,1,0.440068,0.596104,[6 8] ; [ 6 14],[4.94117647 9.05882353] ; [ 7.05882353 12.94117647],0
a3,1,0.492529,0.470996,[10  4] ; [12  8],[9.05882353 4.94117647] ; [12.94117647  7.05882353],0
v3,1,0.499802,0.455357,[5 9] ; [ 5 15],[4.11764706 9.88235294] ; [ 5.88235294 14.11764706],0
r2,1,0.513464,0.427002,[10  3] ; [18  3],[10.70588235  2.29411765] ; [17.29411765  3.70588235],0
s5,1,0.549141,0.358859,[5 8] ; [ 6 15],[4.20588235 8.79411765] ; [ 6.79411765 14.20588235],0
b1,1,0.567822,0.32634,[8 6] ; [14  7],[8.8 5.2] ; [13.2  7.8],0
p2,1,0.577155,0.310857,[11  3] ; [14  6],[10.29411765  3.70588235] ; [14.70588235  5.29411765],0
s6,1,0.580758,0.305011,[8 6] ; [10 11],[7.2 6.8] ; [10.8 10.2],0
p8,1,0.580758,0.305011,[8 6] ; [10 11],[7.2 6.8] ; [10.8 10.2],0
n4,1,0.65564,0.198864,[9 5] ; [15  6],[9.6 4.4] ; [14.4  6.6],0
r4,1,0.65564,0.198864,[5 9] ; [ 6 15],[4.4 9.6] ; [ 6.6 14.4],0
p7,1,0.706082,0.142222,[4 8] ; [ 8 12],[4.5 7.5] ; [ 7.5 12.5],0
p11,1,0.781745,0.076754,[8 6] ; [11 10],[7.6 6.4] ; [11.4  9.6],0
v2,1,0.816297,0.053968,[ 4 10] ; [ 5 15],[ 3.70588235 10.29411765] ; [ 5.29411765 14.70588235],0
n1,1,0.818821,0.052469,[5 4] ; [4 4],[4.76470588 4.23529412] ; [4.23529412 3.76470588],0
b2,1,0.851054,0.035259,[3 8] ; [4 9],[3.20833333 7.79166667] ; [3.79166667 9.20833333],0
b3,1,0.851054,0.035259,[3 8] ; [4 9],[3.20833333 7.79166667] ; [3.79166667 9.20833333],0
p1,1,0.863032,0.029762,[ 3 11] ; [ 4 17],[ 2.8 11.2] ; [ 4.2 16.8],0
